name,business_id,city,state,latitude,longitude,stars,review_count
B_hU-QEkt5G98pYGdfIrsg,Nobu Tei,Solon,OH,41.396544,-81.465911,3.5,109
lpxj6LFir23Ds6swW8a6fg,Grandview Saloon,Pittsburgh,PA,40.4381076,-80.0185368,3,172
2vzUzl31fFLHKhM6px-rbg,Mariner's Inn,Madison,WI,43.1489218,-89.4070057,3.5,79
J4fxdRNWmqckOHTPJocWEw,ML Tavern,Moreland Hills,OH,41.4547126,-81.4437063,4,71
qELIf4gzE_vlteu7pO7TZg,Atria's Restaurant,Pittsburgh,PA,40.44709213,-80.00404638,3,94
szGbmw_vq3kVU4SfK1x6Sw,Ruths Chris Steak House,Pittsburgh,PA,40.439454,-80.003658,4,146
CNklj3fFmwXL13AyvjfV5w,Ann's Chophouse,Bethel Park,PA,40.327443,-80.034616,3.5,35
d6VYQbeTZ_WdD8Uuhh35dg,Tempest Oyster Bar,Madison,WI,43.07393002,-89.37962415,4,280
K8iNH0OEhS7vZLVyuO1v4A,Wasabi Japanese Steak House,Akron,OH,41.1305113,-81.6543561,3.5,127
HOgLMfPB11zz7BsYkFSz0g,Baba's Supper Club,Sun Prairie,WI,43.1832054,-89.2140966,2,4
vv769u0PvdQhO5IIBFAcwg,Saga Hibachi Steakhouse & Sushi Bar,Bethel Park,PA,40.34181152,-80.05520536,3,79
ZspvlO5Dvtd517YhVLJJ_A,Tomo Sushi & Hibachi,Cleveland,OH,41.499484,-81.7004539,3,239
gWmrOXOmciuTnNi4P0wWDQ,Hyde Park Prime Steakhouse,Akron,OH,41.13673748,-81.64657045,4,57
Nz0MchMpTVYmJbijeBSVew,Outback Steakhouse,Cuyahoga Falls,OH,41.1178337,-81.4734259,3,34
VGxJbglGlx-a7Gdc55Q6jQ,Katana,Pittsburgh,PA,40.3899009,-80.0406617,3,149
1MrJJ9tyNyfFrxaNZ67xFg,Silk Road Gourmet Chinese,Pittsburgh,PA,40.35910707,-80.00208978,4,135
795wIi2-x9RfndhVo0byaA,Steel City Steak House,Monroeville,PA,40.3981061,-79.7690515,2.5,34
