"business_id","name","latitude","longitude","stars","Alcohol","GoodForKids","RestaurantsAttire","RestaurantsDelivery","RestaurantsReservations","Ambience.casual","Ambience.classy"
"B_hU-QEkt5G98pYGdfIrsg","Nobu Tei",41.396544,-81.465911,3.5,"0","1","0","0","1","1","0"
"lpxj6LFir23Ds6swW8a6fg","Grandview Saloon",40.4381076,-80.0185368,3,"2","1","0","0","1","0","0"
"2vzUzl31fFLHKhM6px-rbg","Mariner's Inn",43.1489218,-89.4070057,3.5,"2","0","0","0","1","0","0"
"J4fxdRNWmqckOHTPJocWEw","ML Tavern",41.4547126,-81.4437063,4,"2","0","1","0","1","0","1"
"qELIf4gzE_vlteu7pO7TZg","Atria's Restaurant",40.4470921252,-80.004046381,3,"2","1","0","0","1","1","0"
"szGbmw_vq3kVU4SfK1x6Sw","Ruths Chris Steak House",40.439454,-80.003658,4,"2","0","1","0","1","0","1"
"CNklj3fFmwXL13AyvjfV5w","Ann's Chophouse",40.327443,-80.034616,3.5,"2","1","0","0","1","0","0"
"d6VYQbeTZ_WdD8Uuhh35dg","Tempest Oyster Bar",43.0739300186,-89.3796241524,4,"2","0","1","0","1","0","1"
"K8iNH0OEhS7vZLVyuO1v4A","Wasabi Japanese Steak House",41.1305113,-81.6543561,3.5,"2","1","0","0","1","1","0"
"HOgLMfPB11zz7BsYkFSz0g","Baba's Supper Club",43.1832054,-89.2140966,2,"2","1","0","0","1","0","0"
"vv769u0PvdQhO5IIBFAcwg","Saga Hibachi Steakhouse & Sushi Bar",40.3418115205,-80.0552053647,3,"2","1","0","0","1","0","0"
"ZspvlO5Dvtd517YhVLJJ_A","Tomo Sushi & Hibachi",41.499484,-81.7004539,3,"2","0","0","1","1","0","0"
"gWmrOXOmciuTnNi4P0wWDQ","Hyde Park Prime Steakhouse",41.1367374795,-81.6465704509,4,"2","0","1","0","1","0","1"
"Nz0MchMpTVYmJbijeBSVew","Outback Steakhouse",41.1178337,-81.4734259,3,"2","1","0","1","1","1","1"
"VGxJbglGlx-a7Gdc55Q6jQ","Katana",40.3899009,-80.0406617,3,"2","1","0","1","1","1","0"
"1MrJJ9tyNyfFrxaNZ67xFg","Silk Road Gourmet Chinese",40.3591070736,-80.0020897818,4,"2","1","0","1","1","0","0"
"795wIi2-x9RfndhVo0byaA","Steel City Steak House",40.3981061,-79.7690515,2.5,"2","1","0","0","1","1","0"
"DMRaPL6SnA_RX7yY6rprhQ","Steak On a Stone",41.1312495,-81.6534386,2.5,"2","0","0","0","1","0","0"
"zLnmmB9jiKg-A2Lggs64-A","CK's Steak House",41.6709035,-81.2417216,3,"2","0","0","0","1","0","1"
"7ddnq3YQSKguGK15etqGLQ","Ditka's Restaurant - Wexford",40.642662,-80.067024,3,"2","0","0","0","1","0","1"
"eF2jf-E5ktRQIh_4_-Jxsg","Cannon's Chop House",40.2750230347,-80.1665849354,3.5,"2","1","0","0","1","1","1"
"dh1S06LtJqMRRpGcePn5Cg","Zach's Place",41.3714222,-81.8685955,3,"2","1","0","0","1","0","0"
"r_QcMIgY2zxdcV40kK_rxw","Applebee's Grill + Bar",40.142141,-88.258452,2,"2","1","0","1","0","1","0"
"ewEDv_q-K0fV0FepkHB8sA","Tornado Steak House",43.07243,-89.38434,4,"2","0","0","0","1","0","1"
"h-hXxl_9f-QdTYUIx0ar8A","Outback Steakhouse",41.3974202722,-81.6505957894,2.5,"2","1","0","1","1","1","0"
"mZYKqiK-9fzifbFbeEbP1w","McCormick & Schmick's Seafood & Steaks",40.428137705,-79.966480649,3,"2","0","0","0","1","0","1"
"4ZalERS8GVHK_1ULa86rMQ","Rex's Innkeeper",43.19438,-89.4624497,3,"2","1","0","0","1","1","0"
"B0JdEQoQjr9oka-_YyGZ8g","Outback Steakhouse",40.5759448527,-80.0262372225,2.5,"2","1","0","1","0","1","0"
"5Gj8twqkHxMunpNJLn5Hjw","Arashi Japan",41.464644,-81.951747,3,"2","1","0","0","1","1","0"
"xRC2O1i4xQMqqrkKSn7uRw","The Unicorn Restaurant & Pub",41.28497,-82.0645052,4.5,"2","1","0","0","1","0","0"
"7JOo6MO-bJMhfXobJG7SRQ","Timber Lodge",41.198189,-81.841278,3.5,"2","1","0","0","1","1","0"
"I6ocB-D9EAlk3Y9xGll1qA","Taverne Of Richfield",41.2400486,-81.6554434,3.5,"2","1","0","1","1","0","1"
"ZalWvpZ4Tv4AMHtHG0DwrQ","Square 22 Restaurant and Bar",41.3159941,-81.8347744,4,"2","0","0","0","1","1","1"
"CmIEkQZ87j1IGm9qWYqUdQ","Toko Japanese Steak House",41.2402252,-81.337449,4,"2","1","0","1","1","0","0"
"VDn6tM_Q_08CVuNHSUH4Lw","Lakewood Village Tavern",41.476796,-81.786777,3.5,"2","0","0","1","0","0","1"
"iattM1CQ8JfFm2L7-lDifQ","Atami Japan",40.3312155962,-79.743302594,4,"2","1","0","1","1","0","0"
"Qz4JzvZ_0_2TGTWPTE7XSQ","Steak on a Stone",41.62813,-81.427725,2.5,"2","1","0","0","1","0","0"
"x4eptNxzj43ihrk0nZB_OA","Montana Mike's",40.128228,-88.199861,3,"2","1","0","0","1","0","0"
"XTumKkL8Ns3StEvW1nwcow","Fazio's Restaurant",41.3748099,-81.902066,3,"2","1","0","0","0","0","0"
"QQMHSov0KBlBSfb7PXOcXg","Sapporo Japanese Steakhouse",40.4400036,-80.0909106,4,"2","1","0","0","1","1","0"
"JzITUte597nI4RXQK9nERQ","Yokoso Japanese Steakhouse",40.4090939,-79.9158158,3,"2","1","0","0","1","1","0"
"L95ppCbcWAt4LUWrCiEvPg","The Capital Grille",40.4407195879,-80.0000391542,4,"2","0","1","0","1","0","1"
"gqRfs-c6gx_tcIx63Fx4OQ","Harry Buffalo",41.6871191,-81.2899719,2.5,"2","1","0","1","0","0","0"
"MgScNgEPoNExpCOwcgQR3g","LongHorn Steakhouse",41.4614963334,-81.8521149967,3,"2","1","0","0","0","1","0"
"jSnkD2SpD-jcJjBjmxqHpw","Hibachi Japanese Steakhouse",41.5391563,-81.4529642,2.5,"2","1","0","0","1","1","0"
"YKGb41Io_6mRsm4Bee7aOQ","Firebirds Wood Fired Grill",41.453669,-81.486196,3.5,"2","0","0","0","1","1","1"
"KDiUpLL46cgoiWIM_UyR6g","Sushi Bomb",40.4525431,-80.1602727,4,"1","1","0","0","0","0","1"
"6okGKL2PA7kkc-GjZzNHnA","Johnny's Italian Steakhouse",43.0937293,-89.5267453,3.5,"2","1","0","0","1","0","1"
"kkl0Jnord6laHQGkgZxG1Q","Applebee's Grill + Bar",41.238928,-81.34999,3,"2","1","0","0","0","1","1"
"efTPzpiSkxbgNlQOtwyVOA","Medina Steak and Seafood Company",41.1389647,-81.8724508,3,"2","1","0","0","1","1","0"
"WpOMfnH8hvUOENVNn9xMsQ","John Q's Steakhouse",41.4997221553,-81.6958446545,3.5,"2","0","0","0","1","0","1"
"nRmTDIs3Gbis9aX2-v1qcw","Shula's 2 Steak & Sports",41.3935252598,-81.6505193499,3,"2","0","0","0","1","1","0"
"Luv7Vq5SbnkHyN3X1ZM9yw","Applebee's Grill + Bar",41.16629,-81.477168,2.5,"2","1","0","1","1","0","0"
"PV9CdNFDOX4_zWm3Sy3W8g","Quaker Steak & Lube",43.0980569322,-89.5192287862,3,"2","1","0","1","1","1","0"
"8-EVsgJWjva29XMuVW2gPA","Nouveau Bistro & Lounge",41.6647396,-81.2414081,4,"2","1","1","0","1","0","1"
"Rii85bzYKGC9P0zOyAem6A","Texas Roadhouse",41.4246092,-81.7383189,3.5,"2","1","0","0","0","1","0"
"yYHdC09T718YaF0KYb6rpg","LongHorn Steakhouse",41.3958031,-81.4633444,3,"2","1","0","0","0","1","0"
"VobZRj98tDH7AaojYJD8Jg","Applebee's Grill + Bar",40.422538,-79.661546,3,"2","1","0","0","1","0","0"
"VVPwQdO6g9DHCgdBCIlBsw","Applebee's Grill + Bar",41.312317,-81.823672,3,"2","1","0","0","1","0","0"
"NXERVbjRdwe0Deg4d_fVlA","Koto Ramen",40.110827,-88.231612,2,"0","1","0","1","0","0","0"
"VYpXvGPkx2k0lZlGry3HQw","Coach's Club",43.1142554,-89.6586769,3.5,"2","1","0","0","1","1","0"
"cOAjHOGcmXWJEd1Xo3xt0w","XO Seafood & Oysters",41.462926,-81.470595,3.5,"2","0","1","0","1","0","0"
"mJbrw3Y3NOjCKj2I5t8YsA","Hellriegel's Inn",41.6937211,-81.2846589,2.5,"2","1","0","0","1","0","1"
"X0UQortyd6N6zFBVisY_gw","Feiler's",43.036741,-89.454733,3.5,"2","1","0","0","1","0","0"
"iEYCU5LV6FIr3kpvYltYrw","Cabin Club",41.4605556,-81.958732,4,"2","0","1","0","1","0","1"
"cpRiIxqubDa4JV58ZR7-cg","Pittsburgh Steak Company",40.428324,-79.978097,2.5,"2","1","0","0","1","1","0"
"NXTsT01IVpKYPpa_1L-Rlw","Applebee's Grill + Bar",43.052315,-89.474307,2,"2","1","0","1","1","1","0"
"mNsjRWm99TFmssgKJX_kyg","Great Scott Tavern",41.608624,-81.528842,4,"2","1","0","0","1","1","0"
"sGTMmemilgAl1tbP0aqc6w","Fitzgerald's",43.1085931,-89.5111557,2.5,"2","1","0","0","1","0","0"
