"","word","freq"
"great","great",773
"food","food",696
"good","good",557
"service","service",476
"place","place",325
"best","best",253
"get","get",220
"steak","steak",204
"love","love",179
"amazing","amazing",168
"bar","bar",164
"sushi","sushi",164
"nice","nice",139
"time","time",139
"awesome","awesome",128
"excellent","excellent",126
"try","try",120
"atmosphere","atmosphere",118
"just","just",117
"delicious","delicious",115
"cheese","cheese",114
"hour","hour",113
"like","like",113
"back","back",111
"happy","happy",111
"will","will",108
"lunch","lunch",107
"menu","menu",105
"dinner","dinner",101
"night","night",101
"staff","staff",98
"always","always",97
"eat","eat",91
"can","can",87
"restaurant","restaurant",87
"really","really",84
"drinks","drinks",82
"ever","ever",80
"make","make",79
"salad","salad",78
"one","one",75
"order","order",72
"wait","wait",72
"come","come",71
"favorite","favorite",70
"bad","bad",68
"meat","meat",68
"chicken","chicken",67
"meal","meal",67
"price","price",67
"beer","beer",65
"wine","wine",65
"wings","wings",65
"burger","burger",64
"fantastic","fantastic",64
"new","new",59
"well","well",59
"curds","curds",58
"everything","everything",58
"better","better",57
"never","never",57
"friendly","friendly",56
"experience","experience",53
"free","free",52
"worth","worth",52
"brunch","brunch",50
"first","first",50
"half","half",50
"also","also",49
"still","still",48
"ask","ask",47
"got","got",47
"hibachi","hibachi",47
"old","old",47
"prices","prices",46
"sure","sure",46
"slow","slow",45
"must","must",44
"little","little",43
"special","special",43
"steaks","steaks",43
"take","take",43
"going","going",42
"now","now",42
"recommend","recommend",42
"definitely","definitely",41
"drink","drink",41
"even","even",41
"table","table",41
"check","check",40
"crab","crab",40
"day","day",40
"house","house",40
"pretty","pretty",40
"reservation","reservation",40
"burgers","burgers",39
"fresh","fresh",39
"long","long",39
"side","side",39
"specials","specials",39
"way","way",39
"server","server",38
"around","around",37
"rolls","rolls",37
"soup","soup",37
"town","town",37
"want","want",37
"yummy","yummy",37
"fried","fried",36
"prime","prime",36
"shrimp","shrimp",36
"spot","spot",36
"bread","bread",35
"location","location",35
"rib","rib",35
"roll","roll",35
"busy","busy",34
"cooked","cooked",34
"patio","patio",34
"right","right",34
"waitress","waitress",34
"wonderful","wonderful",34
"bartender","bartender",33
"fries","fries",33
"fun","fun",33
"lobster","lobster",33
"onion","onion",33
"open","open",33
"two","two",33
"birthday","birthday",32
"horrible","horrible",32
"people","people",32
"quality","quality",32
"sauce","sauce",32
"filet","filet",31
"music","music",31
"perfect","perfect",31
"selection","selection",31
"terrible","terrible",31
"worst","worst",31
"yum","yum",31
"call","call",30
"reservations","reservations",30
"sandwich","sandwich",30
"early","early",29
"need","need",29
"tonight","tonight",29
"appetizer","appetizer",28
"breakfast","breakfast",28
"every","every",28
"fast","fast",28
"much","much",28
"sunday","sunday",28
"though","though",28
"went","went",28
"closed","closed",27
"friday","friday",27
"made","made",27
"minutes","minutes",27
"money","money",27
"fish","fish",26
"know","know",26
"madison","madison",26
"tasty","tasty",26
"tuesday","tuesday",26
"cleveland","cleveland",25
"cold","cold",25
"hot","hot",25
"portions","portions",25
"ribeye","ribeye",25
"salmon","salmon",25
"spicy","spicy",25
"came","came",24
"dining","dining",24
"kids","kids",24
"potato","potato",24
"priced","priced",24
"sit","sit",24
"view","view",24
"visit","visit",24
"wisconsin","wisconsin",24
"absolutely","absolutely",23
"area","area",23
"beef","beef",23
"bloody","bloody",23
"coming","coming",23
"list","list",23
"next","next",23
"ordered","ordered",23
"outstanding","outstanding",23
"overpriced","overpriced",23
"room","room",23
"seafood","seafood",23
"steakhouse","steakhouse",23
"super","super",23
"waiter","waiter",23
"business","business",22
"date","date",22
"decent","decent",22
"eating","eating",22
"hours","hours",22
"last","last",22
"parking","parking",22
"potatoes","potatoes",22
"rude","rude",22
"stop","stop",22
"times","times",22
"today","today",22
"available","available",21
"bartenders","bartenders",21
"big","big",21
"buffet","buffet",21
"butter","butter",21
"deal","deal",21
"expensive","expensive",21
"late","late",21
"took","took",21
"wow","wow",21
"average","average",20
"chef","chef",20
"dessert","dessert",20
"enjoy","enjoy",20
"nothing","nothing",20
"pork","pork",20
"thursday","thursday",20
"appetizers","appetizers",19
"beers","beers",19
"bone","bone",19
"cocktails","cocktails",19
"disappointed","disappointed",19
"highly","highly",19
"home","home",19
"incredible","incredible",19
"large","large",19
"live","live",19
"martini","martini",19
"options","options",19
"outside","outside",19
"pay","pay",19
"pittsburgh","pittsburgh",19
"saturday","saturday",19
"strip","strip",19
"tried","tried",19
"work","work",19
"ahead","ahead",18
"apps","apps",18
"bit","bit",18
"bring","bring",18
"card","card",18
"customer","customer",18
"die","die",18
"else","else",18
"enough","enough",18
"extra","extra",18
"family","family",18
"lamb","lamb",18
"loved","loved",18
"mac","mac",18
"many","many",18
"mary","mary",18
"places","places",18
"quick","quick",18
"said","said",18
"seating","seating",18
"taste","taste",18
"top","top",18
"tuna","tuna",18
"yelp","yelp",18
"attentive","attentive",17
"away","away",17
"cake","cake",17
"chips","chips",17
"grilled","grilled",17
"pizza","pizza",17
"poor","poor",17
"pricey","pricey",17
"say","say",17
"see","see",17
"sides","sides",17
"tap","tap",17
"wrong","wrong",17
"avoid","avoid",16
"cheap","cheap",16
"clean","clean",16
"flavor","flavor",16
"french","french",16
"less","less",16
"local","local",16
"lot","lot",16
"probably","probably",16
"real","real",16
"scallops","scallops",16
"small","small",16
"sweet","sweet",16
"thing","thing",16
"another","another",15
"beautiful","beautiful",15
"close","close",15
"cool","cool",15
"done","done",15
"dry","dry",15
"find","find",15
"game","game",15
"getting","getting",15
"looking","looking",15
"manager","manager",15
"monday","monday",15
"nights","nights",15
"party","party",15
"prepared","prepared",15
"red","red",15
"ribs","ribs",15
"servers","servers",15
"tacos","tacos",15
"tasted","tasted",15
"tip","tip",15
"trying","trying",15
"waiting","waiting",15
"wednesday","wednesday",15
"week","week",15
"cinnamon","cinnamon",14
"dishes","dishes",14
"end","end",14
"fabulous","fabulous",14
"friends","friends",14
"full","full",14
"give","give",14
"high","high",14
"huge","huge",14
"left","left",14
"management","management",14
"name","name",14
"oysters","oysters",14
"seat","seat",14
"serve","serve",14
"served","served",14
"start","start",14
"thank","thank",14
"think","think",14
"use","use",14
"value","value",14
"actually","actually",13
"almost","almost",13
"bacon","bacon",13
"bbq","bbq",13
"blue","blue",13
"calamari","calamari",13
"decor","decor",13
"dish","dish",13
"fashioned","fashioned",13
"feel","feel",13
"fry","fry",13
"gets","gets",13
"hard","hard",13
"let","let",13
"loud","loud",13
"perfection","perfection",13
"plate","plate",13
"waited","waited",13
"years","years",13
"add","add",12
"ambiance","ambiance",12
"awful","awful",12
"bisque","bisque",12
"city","city",12
"club","club",12
"cream","cream",12
"dirty","dirty",12
"double","double",12
"entree","entree",12
"especially","especially",12
"evening","evening",12
"far","far",12
"forever","forever",12
"gluten","gluten",12
"hands","hands",12
"however","however",12
"look","look",12
"looks","looks",12
"lots","lots",12
"makes","makes",12
"maybe","maybe",12
"meals","meals",12
"mediocre","mediocre",12
"near","near",12
"plus","plus",12
"sake","sake",12
"salads","salads",12
"second","second",12
"street","street",12
"things","things",12
"told","told",12
"used","used",12
"usually","usually",12
