,name,stars,Ambience,RestaurantsPriceRange2,RestaurantsReservations,OutdoorSeating,RestaurantsAttire,BusinessAcceptsCreditCards,RestaurantsDelivery,Alcohol,BusinessParking,RestaurantsTakeOut,GoodForKids,GoodForKids,HasTV,RestaurantsGoodForGroups
0,Nobu Tei,3.5,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",2,True,False,'casual',True,False,'none',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True
1,Ferris Steak House,3.5,NaN,3,True,True,u'casual',True,NaN,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,NaN,NaN,NaN,NaN
2,Grandview Saloon,3.0,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': True, 'trendy': False, 'upscale': False, 'casual': False}",2,True,True,u'casual',True,False,u'full_bar',"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,True,True,True,True
3,DeBlaze Grill,4.5,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",2,NaN,False,u'casual',True,True,u'full_bar',"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,True,True,True,True
4,Mariner's Inn,3.5,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",3,True,True,u'casual',True,False,'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,False,True,True
5,ML Tavern,4.0,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",3,True,True,'dressy',True,False,'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': True}",True,False,False,True,True
6,Atria's Restaurant,3.0,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",2,True,True,u'casual',True,False,u'full_bar',"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': True}",True,True,True,True,True
7,Pittsburgh Rare,2.5,NaN,3,True,False,u'dressy',True,False,'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",NaN,False,False,NaN,True
8,Ruths Chris Steak House,4.0,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': True, 'classy': True, 'casual': False}",4,True,False,u'dressy',True,False,u'full_bar',"{'garage': False, 'street': False, 'validated': True, 'lot': False, 'valet': False}",True,False,False,True,True
9,Ann's Chophouse,3.5,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",2,True,False,u'casual',True,False,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True
10,Tempest Oyster Bar,4.0,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': True, 'trendy': False, 'upscale': False, 'casual': False}",3,True,True,u'dressy',True,False,u'full_bar',"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",False,False,False,True,True
11,Wasabi Japanese Steak House,3.5,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",2,True,False,'casual',True,False,'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True
12,Baba's Supper Club,2.0,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'casual': False}",4,True,False,u'casual',True,False,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,True,True,True,True
13,Saga Hibachi Steakhouse & Sushi Bar,3.0,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': True, 'classy': False, 'casual': False}",2,True,True,u'casual',True,False,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,True,True,True,True
14,Tomo Sushi & Hibachi,3.0,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': False}",3,True,True,u'casual',True,True,u'full_bar',"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': True}",True,False,False,True,True
15,Hyde Park Prime Steakhouse,4.0,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': True, 'trendy': False, 'upscale': False, 'casual': False}",3,True,False,'dressy',True,False,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': True}",True,False,False,True,True
16,Outback Steakhouse,3.0,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}",2,True,False,u'casual',True,True,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True
