business_id,name,city,state,latitude,longitude,stars,review_count,is_open,attributes,category,hours
B_hU-QEkt5G98pYGdfIrsg,Nobu Tei,Solon,OH,41.396544,-81.465911,3.5,109,1,"HasTV,RestaurantsReservations,BusinessAcceptsCreditCards,RestaurantsGoodForGroups,RestaurantsTakeOut,GoodForKids,RestaurantsTableService","Asian Fusion, Thai, Japanese, Sushi Bars, Restaurants, Steakhouses","{'Monday': '16:0-21:30', 'Tuesday': '16:0-21:30', 'Wednesday': '16:0-21:30', 'Thursday': '16:0-21:30', 'Friday': '16:0-22:30', 'Saturday': '12:0-22:30', 'Sunday': '12:0-21:0'}"
JhxI7oS_jsFnq34dDubugQ,Ferris Steak House,Cleveland,OH,41.4806039,-81.74444840000002,3.5,8,0,"RestaurantsReservations,BusinessAcceptsCreditCards,RestaurantsTakeOut,OutdoorSeating","Steakhouses, Restaurants","{'Monday': '17:0-22:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-22:0', 'Saturday': '17:0-22:0'}"
lpxj6LFir23Ds6swW8a6fg,Grandview Saloon,Pittsburgh,PA,40.4381076,-80.0185368,3.0,172,1,"BikeParking,RestaurantsGoodForGroups,RestaurantsReservations,GoodForKids,BusinessAcceptsCreditCards,HappyHour,HasTV,OutdoorSeating,RestaurantsTakeOut","Restaurants, Steakhouses, Seafood, American (Traditional), Wine Bars, Caterers, Lounges, Event Planning & Services, Nightlife, Bars","{'Monday': '11:30-21:0', 'Tuesday': '11:30-21:0', 'Wednesday': '11:30-21:0', 'Thursday': '11:30-21:0', 'Friday': '11:30-22:0', 'Saturday': '11:30-22:0', 'Sunday': '11:30-21:0'}"
FZmvSCnBcVXiX08lmGhakA,DeBlaze Grill,Bridgeville,PA,40.3584643919,-80.1125019681,4.5,47,1,"RestaurantsDelivery,GoodForKids,RestaurantsTakeOut,HasTV,HappyHour,BusinessAcceptsCreditCards,Caters,RestaurantsGoodForGroups","Steakhouses, Italian, American (Traditional), Restaurants","{'Monday': '0:0-0:0', 'Tuesday': '11:30-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Friday': '11:30-0:0', 'Saturday': '11:30-0:0'}"
2vzUzl31fFLHKhM6px-rbg,Mariner's Inn,Madison,WI,43.1489218,-89.4070057,3.5,79,1,"RestaurantsGoodForGroups,RestaurantsReservations,HasTV,WheelchairAccessible,BusinessAcceptsCreditCards,OutdoorSeating,BikeParking,Caters,RestaurantsTakeOut,HappyHour,RestaurantsTableService","Breakfast & Brunch, Event Planning & Services, American (Traditional), Steakhouses, Venues & Event Spaces, Restaurants, Seafood","{'Monday': '0:0-0:0', 'Tuesday': '17:0-21:0', 'Wednesday': '17:0-21:0', 'Thursday': '17:0-21:0', 'Friday': '16:30-22:0', 'Saturday': '16:30-22:0', 'Sunday': '16:30-21:0'}"
J4fxdRNWmqckOHTPJocWEw,ML Tavern,Moreland Hills,OH,41.4547126,-81.4437063,4.0,71,1,"HasTV,RestaurantsGoodForGroups,BusinessAcceptsCreditCards,RestaurantsTableService,RestaurantsTakeOut,HappyHour,OutdoorSeating,RestaurantsReservations","Steakhouses, Beer, Wine & Spirits, Food, Nightlife, Restaurants, Bars","{'Monday': '0:0-0:0', 'Tuesday': '16:0-0:0', 'Wednesday': '16:30-21:30', 'Thursday': '16:30-21:30', 'Friday': '16:30-22:0', 'Saturday': '16:30-22:0'}"
qELIf4gzE_vlteu7pO7TZg,Atria's Restaurant,Pittsburgh,PA,40.4470921252,-80.00404638100001,3.0,94,0,"GoodForKids,BusinessAcceptsCreditCards,BikeParking,RestaurantsTakeOut,RestaurantsGoodForGroups,Caters,OutdoorSeating,HasTV,RestaurantsReservations","Caterers, American (New), Nightlife, Restaurants, Bars, Sandwiches, Seafood, Italian, Event Planning & Services, American (Traditional), Salad, Steakhouses, Burgers","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '10:0-20:0'}"
Es0JayHVN_XPn1q5yFtn6g,Pittsburgh Rare,Pittsburgh,PA,40.43469010000001,-80.006389,2.5,9,0,"RestaurantsReservations,RestaurantsGoodForGroups,BusinessAcceptsCreditCards,HappyHour","Steakhouses, Restaurants",
szGbmw_vq3kVU4SfK1x6Sw,Ruths Chris Steak House,Pittsburgh,PA,40.439454,-80.003658,4.0,146,1,"RestaurantsReservations,BusinessAcceptsCreditCards,RestaurantsTakeOut,RestaurantsGoodForGroups,RestaurantsTableService,HasTV,WheelchairAccessible,HappyHour","Restaurants, Steakhouses","{'Monday': '17:0-22:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-23:0', 'Saturday': '17:0-23:0', 'Sunday': '17:0-21:0'}"
CNklj3fFmwXL13AyvjfV5w,Ann's Chophouse,Bethel Park,PA,40.327443,-80.034616,3.5,35,1,"HasTV,RestaurantsReservations,BusinessAcceptsCreditCards,GoodForKids,RestaurantsGoodForGroups,BikeParking,RestaurantsTakeOut","Steakhouses, Restaurants","{'Monday': '11:0-2:0', 'Tuesday': '11:0-2:0', 'Wednesday': '11:0-2:0', 'Thursday': '11:0-2:0', 'Friday': '11:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '11:0-2:0'}"
